evidence_id,disease_id,cluster_id,drug_id,drug_name,rank,tier,target,target_pathway,evidence_text,source_file,source_row_number,raw_json
imev_927a379646c99e28,BRCA,imcluster_7cb8eb52594960af,1375,Temozolomide,5,,DNA alkylating agent,DNA replication,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%,BRCA_drug_linkage.csv,1,"{""canonical_drug_id"": ""1375"", ""cluster_n_cases"": ""129"", ""drug_name"": ""Temozolomide"", ""drug_rank"": ""5"", ""majority_cluster"": ""C0"", ""pathway"": ""DNA replication"", ""rationale"": ""PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%"", ""target"": ""DNA alkylating agent""}"
imev_48cf0175de014061,BRCA,imcluster_7cb8eb52594960af,1615,CZC24832,7,,PI3Kgamma,PI3K/MTOR signaling,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%,BRCA_drug_linkage.csv,2,"{""canonical_drug_id"": ""1615"", ""cluster_n_cases"": ""129"", ""drug_name"": ""CZC24832"", ""drug_rank"": ""7"", ""majority_cluster"": ""C0"", ""pathway"": ""PI3K/MTOR signaling"", ""rationale"": ""PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%"", ""target"": ""PI3Kgamma""}"
imev_19877bb9effdedf1,BRCA,imcluster_7cb8eb52594960af,1089,Oxaliplatin,9,,DNA alkylating agent,DNA replication,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%,BRCA_drug_linkage.csv,3,"{""canonical_drug_id"": ""1089"", ""cluster_n_cases"": ""129"", ""drug_name"": ""Oxaliplatin"", ""drug_rank"": ""9"", ""majority_cluster"": ""C0"", ""pathway"": ""DNA replication"", ""rationale"": ""PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%"", ""target"": ""DNA alkylating agent""}"
imev_34503fb489bf6bc0,BRCA,imcluster_7cb8eb52594960af,1813,Fludarabine,10,,Antimetabolite,DNA replication,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%,BRCA_drug_linkage.csv,4,"{""canonical_drug_id"": ""1813"", ""cluster_n_cases"": ""129"", ""drug_name"": ""Fludarabine"", ""drug_rank"": ""10"", ""majority_cluster"": ""C0"", ""pathway"": ""DNA replication"", ""rationale"": ""PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%"", ""target"": ""Antimetabolite""}"
imev_0ca9fafe44a1c573,BRCA,imcluster_7cb8eb52594960af,2360,THR-101,14,,Mutant RAS,PI3K/MTOR signaling,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%,BRCA_drug_linkage.csv,5,"{""canonical_drug_id"": ""2360"", ""cluster_n_cases"": ""129"", ""drug_name"": ""THR-101"", ""drug_rank"": ""14"", ""majority_cluster"": ""C0"", ""pathway"": ""PI3K/MTOR signaling"", ""rationale"": ""PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%"", ""target"": ""Mutant RAS""}"
imev_b5eb1d590e25ddc4,BRCA,imcluster_7cb8eb52594960af,1814,Nelarabine,18,,,DNA replication,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%,BRCA_drug_linkage.csv,6,"{""canonical_drug_id"": ""1814"", ""cluster_n_cases"": ""129"", ""drug_name"": ""Nelarabine"", ""drug_rank"": ""18"", ""majority_cluster"": ""C0"", ""pathway"": ""DNA replication"", ""rationale"": ""PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%"", ""target"": """"}"
imev_f07a950512098d2d,BRCA,imcluster_7cb8eb52594960af,1018,Veliparib,19,,"PARP1, PARP2",Genome integrity,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%,BRCA_drug_linkage.csv,7,"{""canonical_drug_id"": ""1018"", ""cluster_n_cases"": ""129"", ""drug_name"": ""Veliparib"", ""drug_rank"": ""19"", ""majority_cluster"": ""C0"", ""pathway"": ""Genome integrity"", ""rationale"": ""PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%"", ""target"": ""PARP1, PARP2""}"
imev_efe71dae8be941ff,BRCA,imcluster_7cb8eb52594960af,1931,MIRA-1,20,,TP53,p53 pathway,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%,BRCA_drug_linkage.csv,8,"{""canonical_drug_id"": ""1931"", ""cluster_n_cases"": ""129"", ""drug_name"": ""MIRA-1"", ""drug_rank"": ""20"", ""majority_cluster"": ""C0"", ""pathway"": ""p53 pathway"", ""rationale"": ""PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%"", ""target"": ""TP53""}"
imev_bc04a47d3c7c46af,BRCA,imcluster_f4abf244974b1646,1375,Temozolomide,5,,DNA alkylating agent,DNA replication,PIK3CA mutation 32%; TP53 mutation 32%; BRCA1/2 mutation 5%,BRCA_drug_linkage.csv,9,"{""canonical_drug_id"": ""1375"", ""cluster_n_cases"": ""22"", ""drug_name"": ""Temozolomide"", ""drug_rank"": ""5"", ""majority_cluster"": ""C1"", ""pathway"": ""DNA replication"", ""rationale"": ""PIK3CA mutation 32%; TP53 mutation 32%; BRCA1/2 mutation 5%"", ""target"": ""DNA alkylating agent""}"
imev_a217b43b5bfddda0,BRCA,imcluster_f4abf244974b1646,1615,CZC24832,7,,PI3Kgamma,PI3K/MTOR signaling,PIK3CA mutation 32%; TP53 mutation 32%; BRCA1/2 mutation 5%,BRCA_drug_linkage.csv,10,"{""canonical_drug_id"": ""1615"", ""cluster_n_cases"": ""22"", ""drug_name"": ""CZC24832"", ""drug_rank"": ""7"", ""majority_cluster"": ""C1"", ""pathway"": ""PI3K/MTOR signaling"", ""rationale"": ""PIK3CA mutation 32%; TP53 mutation 32%; BRCA1/2 mutation 5%"", ""target"": ""PI3Kgamma""}"
