evidence_id,disease_id,drug_name,normalized_drug_name,canonical_drug_id,match_status
imev_927a379646c99e28,BRCA,Temozolomide,temozolomide,cdrug_625e359eee8fc99b,matched
imev_48cf0175de014061,BRCA,CZC24832,czc24832,cdrug_859d8ffb5445e2e7,evidence_only
imev_19877bb9effdedf1,BRCA,Oxaliplatin,oxaliplatin,cdrug_c44992701a33be56,matched
imev_34503fb489bf6bc0,BRCA,Fludarabine,fludarabine,cdrug_bd7982d23450b140,matched
imev_0ca9fafe44a1c573,BRCA,THR-101,thr-101,cdrug_cbcd649f573196df,evidence_only
imev_b5eb1d590e25ddc4,BRCA,Nelarabine,nelarabine,cdrug_7213242416f41e1a,matched
imev_f07a950512098d2d,BRCA,Veliparib,veliparib,cdrug_6f8eb0b04f84047d,evidence_only
imev_efe71dae8be941ff,BRCA,MIRA-1,mira-1,cdrug_d8014f6e4666f0f3,evidence_only
imev_bc04a47d3c7c46af,BRCA,Temozolomide,temozolomide,cdrug_625e359eee8fc99b,matched
imev_a217b43b5bfddda0,BRCA,CZC24832,czc24832,cdrug_859d8ffb5445e2e7,evidence_only
imev_5f6df7709575e8bb,BRCA,Oxaliplatin,oxaliplatin,cdrug_c44992701a33be56,matched
imev_61bfd5df207795e3,BRCA,Fludarabine,fludarabine,cdrug_bd7982d23450b140,matched
imev_9d86c4c6a2d447a1,BRCA,THR-101,thr-101,cdrug_cbcd649f573196df,evidence_only
imev_8eada2ac10833e22,BRCA,Nelarabine,nelarabine,cdrug_7213242416f41e1a,matched
imev_b41c87eff0240d13,BRCA,Veliparib,veliparib,cdrug_6f8eb0b04f84047d,evidence_only
imev_9c580004ccc71083,BRCA,MIRA-1,mira-1,cdrug_d8014f6e4666f0f3,evidence_only
imev_b701d70d95cd41d1,BRCA,Temozolomide,temozolomide,cdrug_625e359eee8fc99b,matched
imev_92ae2d828b7eec9d,BRCA,CZC24832,czc24832,cdrug_859d8ffb5445e2e7,evidence_only
imev_74a27b6da862ac86,BRCA,Oxaliplatin,oxaliplatin,cdrug_c44992701a33be56,matched
imev_ba70a84083de122c,BRCA,Fludarabine,fludarabine,cdrug_bd7982d23450b140,matched
imev_ba2c618df177429b,BRCA,THR-101,thr-101,cdrug_cbcd649f573196df,evidence_only
imev_56c1988c6356b83f,BRCA,Nelarabine,nelarabine,cdrug_7213242416f41e1a,matched
imev_5874a5510950845b,BRCA,Veliparib,veliparib,cdrug_6f8eb0b04f84047d,evidence_only
imev_380dbd79c03b15f5,BRCA,MIRA-1,mira-1,cdrug_d8014f6e4666f0f3,evidence_only
imev_050c2c69cb367597,BRCA,Temozolomide,temozolomide,cdrug_625e359eee8fc99b,matched
imev_da76f12c68a868ef,BRCA,CZC24832,czc24832,cdrug_859d8ffb5445e2e7,evidence_only
imev_1527b6b8e28af700,BRCA,Oxaliplatin,oxaliplatin,cdrug_c44992701a33be56,matched
imev_39e1842bfa3101d1,BRCA,Fludarabine,fludarabine,cdrug_bd7982d23450b140,matched
imev_6ab2727ebf7b06ef,BRCA,CCT007093,cct007093,cdrug_c7bcca826492e28a,evidence_only
imev_d0c1e6d6703c6820,BRCA,THR-101,thr-101,cdrug_cbcd649f573196df,evidence_only
imev_08387e6c2b0cffbd,BRCA,Nelarabine,nelarabine,cdrug_7213242416f41e1a,matched
imev_2c1681b23b4ffec3,BRCA,Veliparib,veliparib,cdrug_6f8eb0b04f84047d,evidence_only
imev_24a56cefe10450d5,Colon,Irinotecan,irinotecan,cdrug_da0375af747f9b98,matched
imev_de0792b63b8cb5cd,Colon,Vinblastine,vinblastine,cdrug_f8909ca4d8abdc96,matched
imev_38acf875e39fb39e,Colon,Vinorelbine,vinorelbine,cdrug_b927e4cdcac90f13,matched
imev_310ff2beb4e8104c,Colon,Temsirolimus,temsirolimus,cdrug_ec25ee06790a07e7,matched
imev_7f6c98af0fa196cc,Colon,Camptothecin,camptothecin,cdrug_a286fdd293b9be53,matched
imev_32f6492cd929918d,Colon,Topotecan,topotecan,cdrug_c40413853cfa1088,matched
imev_2201397b36ec4b2b,Colon,Paclitaxel,paclitaxel,cdrug_20b83add6b9c4f21,matched
imev_356033c99a7bce52,Colon,Docetaxel,docetaxel,cdrug_61a5e8e07ce664d1,matched
imev_17b2909c5d9ae248,Colon,Teniposide,teniposide,cdrug_edd483796693a02f,matched
imev_6ceebb12905812b4,Colon,Rapamycin,rapamycin,cdrug_9487650b5625fd2e,matched
imev_b863e52beca8a55c,Colon,Refametinib,refametinib,cdrug_8bfd50149ba3e72c,evidence_only
imev_49648c88e28869c5,Colon,LMP744,lmp744,cdrug_25c95fa72ddae840,evidence_only
imev_23bfa059bbb87ada,Colon,Trametinib,trametinib,cdrug_18e3cf278c38ce2a,matched
imev_ae934e3183df64da,Colon,AZD2014,azd2014,cdrug_6db1bafe8fb867b7,matched
imev_2fc027ab590a9c07,Colon,AZD6482,azd6482,cdrug_06622178d9ceb258,matched
imev_8ab43b37081d8513,Colon,PD0325901,pd0325901,cdrug_437729aca9b5a6f7,evidence_only
imev_007f9f3bc34228b6,Colon,Epirubicin,epirubicin,cdrug_34152dace9ff98c9,matched
imev_11e2e0772cb5f30b,Colon,Bortezomib,bortezomib,cdrug_5b0d446d35d3790d,matched
imev_f231b8c2bb75acb3,Colon,Irinotecan,irinotecan,cdrug_da0375af747f9b98,matched
imev_ee1ef03d546cb322,Colon,Vinblastine,vinblastine,cdrug_f8909ca4d8abdc96,matched
imev_effd1f61dd0bdb8d,Colon,Vinorelbine,vinorelbine,cdrug_b927e4cdcac90f13,matched
imev_c694208b29043c01,Colon,Temsirolimus,temsirolimus,cdrug_ec25ee06790a07e7,matched
imev_61f8834d960ff829,Colon,Camptothecin,camptothecin,cdrug_a286fdd293b9be53,matched
imev_8c4ba0c6b7898360,Colon,Topotecan,topotecan,cdrug_c40413853cfa1088,matched
imev_58224d4a68e82c1e,Colon,Paclitaxel,paclitaxel,cdrug_20b83add6b9c4f21,matched
imev_89bd6e11aabe15e1,Colon,Docetaxel,docetaxel,cdrug_61a5e8e07ce664d1,matched
imev_e6321c02753feb29,Colon,Teniposide,teniposide,cdrug_edd483796693a02f,matched
imev_1074396e456bab7c,Colon,Rapamycin,rapamycin,cdrug_9487650b5625fd2e,matched
imev_e5c89dc7db5a5cb2,Colon,Refametinib,refametinib,cdrug_8bfd50149ba3e72c,evidence_only
imev_87595fc7e0a5cfee,Colon,LMP744,lmp744,cdrug_25c95fa72ddae840,evidence_only
imev_8bc198a0c2fb3493,Colon,Trametinib,trametinib,cdrug_18e3cf278c38ce2a,matched
imev_ac560f8eafad5f97,Colon,AZD2014,azd2014,cdrug_6db1bafe8fb867b7,matched
imev_5a575a609891d060,Colon,AZD6482,azd6482,cdrug_06622178d9ceb258,matched
imev_0024bfa5010de968,Colon,PD0325901,pd0325901,cdrug_437729aca9b5a6f7,evidence_only
imev_c80adb8b0a6613e8,Colon,Epirubicin,epirubicin,cdrug_34152dace9ff98c9,matched
imev_ebd322906d1b5216,Colon,Bortezomib,bortezomib,cdrug_5b0d446d35d3790d,matched
