canonical_drug_id,target_id,source_kind,source_id,disease_id,relation_kind
cdrug_c40413853cfa1088,target_5d3f94ef07cbc00a,candidate,cand_29c47a273d7fc85b,Colon,target
cdrug_c40413853cfa1088,target_1416fc3e3932fc67,candidate,cand_29c47a273d7fc85b,Colon,pathway
cdrug_b927e4cdcac90f13,target_dddfbff9eee87717,candidate,cand_aa8ba498a81a64a9,Colon,target
cdrug_b927e4cdcac90f13,target_6ef4c54890d49550,candidate,cand_aa8ba498a81a64a9,Colon,pathway
cdrug_f8909ca4d8abdc96,target_dddfbff9eee87717,candidate,cand_5852ac6757ebb84b,Colon,target
cdrug_f8909ca4d8abdc96,target_6ef4c54890d49550,candidate,cand_5852ac6757ebb84b,Colon,pathway
cdrug_da0375af747f9b98,target_5d3f94ef07cbc00a,candidate,cand_ec7a04d36bd8c90a,Colon,target
cdrug_da0375af747f9b98,target_1416fc3e3932fc67,candidate,cand_ec7a04d36bd8c90a,Colon,pathway
cdrug_a286fdd293b9be53,target_5d3f94ef07cbc00a,candidate,cand_13273f2b6da41728,Colon,target
cdrug_a286fdd293b9be53,target_1416fc3e3932fc67,candidate,cand_13273f2b6da41728,Colon,pathway
cdrug_ec25ee06790a07e7,target_e5c04c41e91bed69,candidate,cand_f0d0a8a5fb284504,Colon,target
cdrug_ec25ee06790a07e7,target_a24e74dbaef2efa5,candidate,cand_f0d0a8a5fb284504,Colon,pathway
cdrug_9487650b5625fd2e,target_3c06827e22a17060,candidate,cand_1434d5a4a4e3b199,Colon,target
cdrug_9487650b5625fd2e,target_a24e74dbaef2efa5,candidate,cand_1434d5a4a4e3b199,Colon,pathway
cdrug_66e7da8131e061dc,target_aa86d3072aaad900,candidate,cand_57fbbde58f158643,Colon,target
cdrug_66e7da8131e061dc,target_8bc6d0feb1bd165c,candidate,cand_57fbbde58f158643,Colon,pathway
cdrug_18e3cf278c38ce2a,target_93049e2d40ef1c6f,candidate,cand_0440432bcfa3c9b0,Colon,target
cdrug_18e3cf278c38ce2a,target_e263148716931e9d,candidate,cand_0440432bcfa3c9b0,Colon,pathway
cdrug_06622178d9ceb258,target_2e4df6ee9cd208b2,candidate,cand_d9cfcaa669b1cc29,Colon,target
cdrug_06622178d9ceb258,target_a24e74dbaef2efa5,candidate,cand_d9cfcaa669b1cc29,Colon,pathway
cdrug_e33512555752f796,target_8a8e25b0186f2975,candidate,cand_d9197ea8a38ce9ed,Colon,target
cdrug_e33512555752f796,target_867a91bd59261288,candidate,cand_d9197ea8a38ce9ed,Colon,pathway
cdrug_6db1bafe8fb867b7,target_219ee0622960f2fb,candidate,cand_76d5ac36968ce718,Colon,target
cdrug_6db1bafe8fb867b7,target_a24e74dbaef2efa5,candidate,cand_76d5ac36968ce718,Colon,pathway
cdrug_346ad922ccbc1f5b,target_3a49a7c56b5e591c,candidate,cand_519186b9001921ad,Colon,target
cdrug_346ad922ccbc1f5b,target_61261ffa91098329,candidate,cand_519186b9001921ad,Colon,pathway
cdrug_9e64de7415bb3254,target_529ed25254e1067c,candidate,cand_61f226728f19f06c,Colon,target
cdrug_9e64de7415bb3254,target_61261ffa91098329,candidate,cand_61f226728f19f06c,Colon,pathway
cdrug_e2af88ecc84c41e5,target_742041ca41f1ed28,candidate,cand_d279d4f1944f1e83,Colon,target
cdrug_e2af88ecc84c41e5,target_61261ffa91098329,candidate,cand_d279d4f1944f1e83,Colon,pathway
cdrug_b211aef3f5543386,target_0c1336074c0cdc46,candidate,cand_be5b5450b535dc06,HNSC,target
cdrug_b211aef3f5543386,target_a9e1d6c6f85a7eb5,candidate,cand_be5b5450b535dc06,HNSC,pathway
cdrug_a286fdd293b9be53,target_5d3f94ef07cbc00a,candidate,cand_13b8ed158d4ecc1e,HNSC,target
cdrug_a286fdd293b9be53,target_1416fc3e3932fc67,candidate,cand_13b8ed158d4ecc1e,HNSC,pathway
cdrug_2e9ab8a291ff1bc8,target_8424b9e9c2f6fe8a,candidate,cand_436145cb1960b376,HNSC,target
cdrug_2e9ab8a291ff1bc8,target_a3933d5f1ea77812,candidate,cand_436145cb1960b376,HNSC,pathway
cdrug_ec25ee06790a07e7,target_e5c04c41e91bed69,candidate,cand_1127cb49c8934f90,HNSC,target
cdrug_ec25ee06790a07e7,target_a24e74dbaef2efa5,candidate,cand_1127cb49c8934f90,HNSC,pathway
cdrug_c40413853cfa1088,target_5d3f94ef07cbc00a,candidate,cand_d82908e1296a7c0d,HNSC,target
cdrug_c40413853cfa1088,target_1416fc3e3932fc67,candidate,cand_d82908e1296a7c0d,HNSC,pathway
cdrug_e6882f20c467ce5f,target_574ced2531f02721,candidate,cand_e2663dbca41dcb7c,HNSC,target
cdrug_e6882f20c467ce5f,target_a24e74dbaef2efa5,candidate,cand_e2663dbca41dcb7c,HNSC,pathway
cdrug_5e43b24a58c005d7,target_976d5cbc9160f606,candidate,cand_eb738756479f5969,HNSC,target
cdrug_5e43b24a58c005d7,target_b63bea6e1ab9da68,candidate,cand_eb738756479f5969,HNSC,pathway
cdrug_da0375af747f9b98,target_5d3f94ef07cbc00a,candidate,cand_6390e1b0d5b6bd2d,HNSC,target
cdrug_da0375af747f9b98,target_1416fc3e3932fc67,candidate,cand_6390e1b0d5b6bd2d,HNSC,pathway
cdrug_18e3cf278c38ce2a,target_93049e2d40ef1c6f,candidate,cand_59b361da82c38c4f,HNSC,target
cdrug_18e3cf278c38ce2a,target_e263148716931e9d,candidate,cand_59b361da82c38c4f,HNSC,pathway
cdrug_e33512555752f796,target_8a8e25b0186f2975,candidate,cand_da6ff40203190034,HNSC,target
cdrug_e33512555752f796,target_867a91bd59261288,candidate,cand_da6ff40203190034,HNSC,pathway
cdrug_20b83add6b9c4f21,target_2ad7080e730d06a4,candidate,cand_cfda4a8a830c0c1d,HNSC,target
cdrug_20b83add6b9c4f21,target_6ef4c54890d49550,candidate,cand_cfda4a8a830c0c1d,HNSC,pathway
cdrug_ec05f6bf5cc73f6e,target_d6498fa8a8e74e6f,candidate,cand_7b2a39969a7f3f5b,HNSC,target
cdrug_ec05f6bf5cc73f6e,target_cdbf468a18ff1319,candidate,cand_7b2a39969a7f3f5b,HNSC,pathway
cdrug_ef43b4351b3144ee,target_0ad55ebb8e0dd8b0,candidate,cand_b1a566b0fca154ea,HNSC,target
cdrug_ef43b4351b3144ee,target_8bc6d0feb1bd165c,candidate,cand_b1a566b0fca154ea,HNSC,pathway
