target_id,concept_text,normalized_text,concept_type
target_61261ffa91098329,Apoptosis regulation,apoptosis regulation,raw_pathway
target_b63bea6e1ab9da68,Cell cycle,cell cycle,raw_pathway
target_a3933d5f1ea77812,Chromatin histone acetylation,chromatin histone acetylation,raw_pathway
target_1416fc3e3932fc67,DNA replication,dna replication,raw_pathway
target_b53067a638268f0a,ECM remodeling and angiogenesis,ecm remodeling and angiogenesis,raw_pathway
target_a9e1d6c6f85a7eb5,EGFR signaling,egfr signaling,raw_pathway
target_172eca46c60c0de5,Endothelin + NO/PDE5 pathway,endothelin + no/pde5 pathway,raw_pathway
target_e263148716931e9d,ERK MAPK signaling,erk mapk signaling,raw_pathway
target_cdbf468a18ff1319,Genome integrity,genome integrity,raw_pathway
target_3fa0fe291796719b,IGF1R signaling,igf1r signaling,raw_pathway
target_ca35ffcff698a02e,Inflammatory-fibrotic transition,inflammatory-fibrotic transition,raw_pathway
target_6ef4c54890d49550,Mitosis,mitosis,raw_pathway
target_f47fa3a1dc526599,Other,other,raw_pathway
target_19a7895319ed3f55,Other kinases,other kinases,raw_pathway
target_9b02185c016f1190,"Other, kinases","other, kinases",raw_pathway
target_c389f9af0d520319,p53 pathway,p53 pathway,raw_pathway
target_a24e74dbaef2efa5,PI3K/MTOR signaling,pi3k/mtor signaling,raw_pathway
target_d1669b8935fdc124,Prostacyclin + advanced anti-remodeling,prostacyclin + advanced anti-remodeling,raw_pathway
target_867a91bd59261288,Protein stability and degradation,protein stability and degradation,raw_pathway
target_8bc6d0feb1bd165c,RTK signaling,rtk signaling,raw_pathway
target_c9006683c7bd4d69,"ABL, SRC, Ephrins, PDGFR, KIT","abl, src, ephrins, pdgfr, kit",raw_target
target_389799d00ddf6d9b,ABL;ABL1;CAMK2G;FGR;HCK;LYN;MAP2K1;MAP2K2;MAP3K2;SLK;SRC;TEC,abl;abl1;camk2g;fgr;hck;lyn;map2k1;map2k2;map3k2;slk;src;tec,raw_target
target_059b04ea77c01357,"ABL|EPHRINS|KIT|PDGFR|SRC ABL, SRC, Ephrins, PDGFR, KIT Other, kinases ABL|EPHRINS|KIT|PDGFR|SRC","abl|ephrins|kit|pdgfr|src abl, src, ephrins, pdgfr, kit other, kinases abl|ephrins|kit|pdgfr|src",raw_target
target_0297190270d31246,"AKT1, AKT2","akt1, akt2",raw_target
target_64f428574bac0e50,"AKT1, AKT2, AKT3","akt1, akt2, akt3",raw_target
target_3d5652d932f7d106,"AKT1|AKT2 AKT1, AKT2 PI3K/MTOR signaling AKT1|AKT2","akt1|akt2 akt1, akt2 pi3k/mtor signaling akt1|akt2",raw_target
target_b64a249006a43077,"AKT1|AKT2|AKT3 AKT1, AKT2, AKT3 PI3K/MTOR signaling AKT1|AKT2|AKT3","akt1|akt2|akt3 akt1, akt2, akt3 pi3k/mtor signaling akt1|akt2|akt3",raw_target
target_3165b529a3f7ff92,Anthracycline,anthracycline,raw_target
target_18147689bd709a77,ANTHRACYCLINE Anthracycline DNA replication ANTHRACYCLINE,anthracycline anthracycline dna replication anthracycline,raw_target
target_abfb990be3c10c39,ANTHRACYCLINE;TOP2A;TOP2B,anthracycline;top2a;top2b,raw_target
target_6355eb4ba9085d0e,Antimetabolite,antimetabolite,raw_target
target_e8f3ce9c535a12b7,ANTIMETABOLITE Antimetabolite DNA replication ANTIMETABOLITE,antimetabolite antimetabolite dna replication antimetabolite,raw_target
target_c6cdac9b1fbe77db,ANTIMETABOLITE;POLB,antimetabolite;polb,raw_target
target_753d6824f3645fbb,AURKA,aurka,raw_target
target_af771bfd5af592c6,AURKA AURKA Mitosis AURKA,aurka aurka mitosis aurka,raw_target
target_ece5e0315f5669e9,"AURKA, AURKB, AURKC, others","aurka, aurkb, aurkc, others",raw_target
target_264cedc9a71e25c4,AURKA|AURKB|AURKC|OTHERS,aurka|aurkb|aurkc|others,raw_target
target_24378d99aedadc5b,B-cell / BTK axis,b-cell / btk axis,raw_target
target_7353bb53beac9bd7,"BCL-XL|BCL2|MCL1 BCL2, BCL-XL, MCL1 Apoptosis regulation BCL2|BCL2L1|MCL1","bcl-xl|bcl2|mcl1 bcl2, bcl-xl, mcl1 apoptosis regulation bcl2|bcl2l1|mcl1",raw_target
target_742041ca41f1ed28,"BCL2, BCL-XL, BCL-W","bcl2, bcl-xl, bcl-w",raw_target
target_3a49a7c56b5e591c,"BCL2,  BCL-XL,  BFL1, MCL1","bcl2, bcl-xl, bfl1, mcl1",raw_target
target_529ed25254e1067c,"BCL2, BCL-XL, MCL1","bcl2, bcl-xl, mcl1",raw_target
target_df32c29d2b9d2eaa,BCL2;MAP4;MAPK1;TUBB,bcl2;map4;mapk1;tubb,raw_target
target_3f1603650d00fafa,BCL2;NR1I2;TUBB1,bcl2;nr1i2;tubb1,raw_target
target_f2aeec824b5e6914,BRAF;LIMK1;NEK11;RAF1;SIK1,braf;limk1;nek11;raf1;sik1,raw_target
target_aa5ad685d3689ba4,broad kinase; research-only signal,broad kinase; research-only signal,raw_target
target_aa86d3072aaad900,Broad spectrum kinase inhibitor,broad spectrum kinase inhibitor,raw_target
target_eee76d73112201fd,CAPN1;PROTEASOME,capn1;proteasome,raw_target
target_ec0a71ecc9d4cbe1,"CAPN1|PROTEASOME Proteasome, CAPN1 Protein stability and degradation CAPN1|PROTEASOME","capn1|proteasome proteasome, capn1 protein stability and degradation capn1|proteasome",raw_target
