disease_id,canonical_drug_id,drug_name,distmult_score,transe_score,ensemble_score,is_known_candidate,candidate_rank,candidate_tier
BRCA,cdrug_e51609b82211809e,N-acetyl cysteine,0.970804,0.963915,0.96736,1,9,4
BRCA,cdrug_908098e378b46e94,AZD1208,0.981247,0.899751,0.940499,1,7,4
BRCA,cdrug_7213242416f41e1a,Nelarabine,0.918212,0.949034,0.933623,1,1,3
BRCA,cdrug_bd7982d23450b140,Fludarabine,0.915436,0.939042,0.927239,1,3,3
BRCA,cdrug_9fa23c59225eff3c,PRIMA-1MET,0.966486,0.882102,0.924294,1,13,4
BRCA,cdrug_03bbcc358333fe29,ML323,0.901149,0.947137,0.924143,1,15,4
BRCA,cdrug_d7507e18dc17e5bb,A-366,1.0,0.820303,0.910152,1,12,4
BRCA,cdrug_625e359eee8fc99b,Temozolomide,0.849712,0.950124,0.899918,1,4,2
BRCA,cdrug_6e74042d9d6c287f,Cyclophosphamide,0.921714,0.87078,0.896247,1,8,1
BRCA,cdrug_c44992701a33be56,Oxaliplatin,0.845063,0.945783,0.895423,1,11,2
BRCA,cdrug_df3eadc8b893ce39,PCI-34051,0.864931,0.920021,0.892476,1,14,4
BRCA,cdrug_9d67b33ca53ba47a,alpha-lipoic acid,0.947183,0.75353,0.850357,1,6,4
BRCA,cdrug_22a8c630c15b10fe,5-Fluorouracil,0.896748,0.742235,0.819491,1,5,1
BRCA,cdrug_e642845b7af9f923,Ribociclib,0.588267,0.946113,0.76719,0,,
BRCA,cdrug_265b3cb9e72545aa,BEN,0.924097,0.564453,0.744275,1,10,4
BRCA,cdrug_20b83add6b9c4f21,Paclitaxel,0.499298,0.964755,0.732027,0,,
BRCA,cdrug_61a5e8e07ce664d1,Docetaxel,0.471012,0.978152,0.724582,0,,
BRCA,cdrug_5e43b24a58c005d7,BI-2536,0.509323,0.936148,0.722736,0,,
BRCA,cdrug_7d828b8ad8476d1f,Dasatinib,0.519514,0.923021,0.721267,0,,
BRCA,cdrug_a0f92608891f8025,MK-1775,0.42566,1.0,0.71283,0,,
BRCA,cdrug_760c10c9f441bfbc,BX795,0.451205,0.961308,0.706257,0,,
BRCA,cdrug_a54fa6b388237c1c,Palbociclib,0.451505,0.941437,0.696471,0,,
BRCA,cdrug_32e12f4a864d093b,Tozasertib,0.436877,0.953929,0.695403,0,,
BRCA,cdrug_eee02d6dc017f95a,Methotrexate,0.401461,0.989172,0.695316,0,,
BRCA,cdrug_55e70c4ca380f295,AZD5582,0.437836,0.937967,0.687902,0,,
BRCA,cdrug_9e64de7415bb3254,TW 37,0.401071,0.973184,0.687127,0,,
BRCA,cdrug_19bfedb68dfcc6d9,AZD5438,0.406782,0.957702,0.682242,0,,
BRCA,cdrug_ef43b4351b3144ee,Foretinib,0.458032,0.906403,0.682218,0,,
BRCA,cdrug_f8909ca4d8abdc96,Vinblastine,0.397959,0.96425,0.681104,0,,
BRCA,cdrug_6c95cca9e9b8fc23,Ruxolitinib,0.846509,0.508296,0.677403,1,2,2
BRCA,cdrug_edd483796693a02f,Teniposide,0.396913,0.950644,0.673779,0,,
BRCA,cdrug_5d6b2e1a477d01ae,LESTAURTINIB,0.534778,0.804911,0.669844,0,,
BRCA,cdrug_665990480f4d2502,Cytarabine,0.372469,0.961422,0.666946,0,,
BRCA,cdrug_371d0df931c65f11,MG-132,0.376792,0.955348,0.66607,0,,
BRCA,cdrug_67fc3a0622149415,5-azacytidine,0.383049,0.944578,0.663814,0,,
BRCA,cdrug_58450c4db13a14e1,Entinostat,0.367563,0.953877,0.66072,0,,
BRCA,cdrug_6f8eb0b04f84047d,Veliparib,0.40817,0.905653,0.656911,0,,
BRCA,cdrug_ec25ee06790a07e7,Temsirolimus,0.366013,0.94497,0.655492,0,,
BRCA,cdrug_8edbdc9c5d4a7174,Pictilisib,0.36668,0.939953,0.653316,0,,
BRCA,cdrug_09df56fea397fe63,EPZ5676,0.362402,0.938456,0.650429,0,,
BRCA,cdrug_6a5a5a0a0c643307,Uprosertib,0.311677,0.988536,0.650106,0,,
BRCA,cdrug_d464ce63544cc204,MK-2206,0.36011,0.936691,0.6484,0,,
BRCA,cdrug_25c95fa72ddae840,LMP744,0.359735,0.922184,0.640959,0,,
BRCA,cdrug_07e5800d7654ee82,Savolitinib,0.420883,0.85825,0.639567,0,,
BRCA,cdrug_5b0d446d35d3790d,Bortezomib,0.323726,0.955311,0.639518,0,,
BRCA,cdrug_a286fdd293b9be53,Camptothecin,0.318182,0.959497,0.638839,0,,
BRCA,cdrug_36dba5df8466d8d4,EPZ004777,0.356873,0.91134,0.634107,0,,
BRCA,cdrug_7e79edcdee91cafc,Dactinomycin,0.300706,0.966133,0.63342,0,,
BRCA,cdrug_cbcd649f573196df,THR-101,0.375211,0.891596,0.633403,0,,
BRCA,cdrug_d82e10aee750f670,SN-38,0.278636,0.984726,0.631681,0,,
BRCA,cdrug_e6882f20c467ce5f,Buparlisib,0.322945,0.937505,0.630225,0,,
BRCA,cdrug_3de95f54a079fa92,Mitoxantrone,0.323965,0.935951,0.629958,0,,
BRCA,cdrug_d6afb6f031e7fe30,Lapatinib,0.297746,0.945513,0.62163,0,,
BRCA,cdrug_e33512555752f796,Tanespimycin,0.282117,0.955073,0.618595,0,,
BRCA,cdrug_52692989966fe3dc,Elesclomol,0.278001,0.95826,0.61813,0,,
BRCA,cdrug_1ac4a2d6c19d68f5,Alisertib,0.25688,0.976872,0.616876,0,,
BRCA,cdrug_14411daba423616d,SL0101,0.304885,0.924926,0.614906,0,,
BRCA,cdrug_e408623f8a2d3a7b,Pevonedistat,0.314682,0.895836,0.605259,0,,
BRCA,cdrug_258a26e1e68187f5,AZD8055,0.275891,0.928803,0.602347,0,,
BRCA,cdrug_f45eb6a56f3dd23b,Dactolisib,0.256899,0.943626,0.600262,0,,
