entity_id,entity_index
cluster:imcluster_181fb1acaf1fef83,0
cluster:imcluster_35d740581854a27b,1
cluster:imcluster_51dd70c5fbc6ec1a,2
cluster:imcluster_520dc35d971cf547,3
cluster:imcluster_54974ce9487529ee,4
cluster:imcluster_59171b1ad08e7c81,5
cluster:imcluster_5baab8a67cdd0fdf,6
cluster:imcluster_5ec220e124a50080,7
cluster:imcluster_6515ba94f529f557,8
cluster:imcluster_6893ea6ac1e4cef6,9
cluster:imcluster_6d2f7c0f3eab8f12,10
cluster:imcluster_6f021bb02f82e334,11
cluster:imcluster_7ae414dfb8488ade,12
cluster:imcluster_7b8f770c5e0a8cce,13
cluster:imcluster_7cb8eb52594960af,14
cluster:imcluster_80109e833c9a6d00,15
cluster:imcluster_840ab0c63832388c,16
cluster:imcluster_93baab94defd2986,17
cluster:imcluster_a23ed182f842b36b,18
cluster:imcluster_bf3b193dd6b7d10a,19
cluster:imcluster_c8239e0289f45dff,20
cluster:imcluster_c90733dce2ac04ff,21
cluster:imcluster_d7ef8b159f54dbab,22
cluster:imcluster_db20d78e4ea7ee7d,23
cluster:imcluster_e09d33f00be65bdd,24
cluster:imcluster_e3a11e1a6c3719d7,25
cluster:imcluster_e42c1c61aafe2268,26
cluster:imcluster_ea1b0c9372d83f8b,27
cluster:imcluster_f4abf244974b1646,28
cluster:imcluster_fb27ef85fb186089,29
cluster:imcluster_fca36e499f1d09d1,30
disease:BRCA,31
disease:Colon,32
disease:HNSC,33
disease:IPF,34
disease:LUNG,35
disease:Liver,36
disease:PAH,37
disease:PDAC,38
disease:Psoriasis,39
disease:RA,40
disease:STAD,41
drug:cdrug_03bbcc358333fe29,42
drug:cdrug_06622178d9ceb258,43
drug:cdrug_07e5800d7654ee82,44
drug:cdrug_09df56fea397fe63,45
drug:cdrug_0abcecf22edf1da7,46
drug:cdrug_0fd545cc40bef19b,47
drug:cdrug_14411daba423616d,48
drug:cdrug_14bc3bba5c9315c4,49
drug:cdrug_18e3cf278c38ce2a,50
drug:cdrug_19bfedb68dfcc6d9,51
drug:cdrug_1ac4a2d6c19d68f5,52
drug:cdrug_1b002a0118c221e9,53
drug:cdrug_1f309e1d1aaae0f9,54
drug:cdrug_209ac767f05cbe80,55
drug:cdrug_20a9e92029833ac8,56
drug:cdrug_20b83add6b9c4f21,57
drug:cdrug_22a8c630c15b10fe,58
drug:cdrug_258a26e1e68187f5,59
drug:cdrug_25c95fa72ddae840,60
drug:cdrug_25eaec7308a97eee,61
drug:cdrug_265b3cb9e72545aa,62
drug:cdrug_2e9ab8a291ff1bc8,63
drug:cdrug_2ebf6143a4e9c068,64
drug:cdrug_31e511f6bf320f2c,65
drug:cdrug_32e12f4a864d093b,66
drug:cdrug_34152dace9ff98c9,67
drug:cdrug_346ad922ccbc1f5b,68
drug:cdrug_34b98cc5fbbbb5da,69
