head,relation,tail,source_id
drug:cdrug_03bbcc358333fe29,CANDIDATE_FOR,disease:BRCA,cand_27703d4a799c7801
drug:cdrug_06622178d9ceb258,CANDIDATE_FOR,disease:Colon,cand_d9cfcaa669b1cc29
drug:cdrug_07e5800d7654ee82,CANDIDATE_FOR,disease:LUNG,cand_e8368b388a97be20
drug:cdrug_09df56fea397fe63,CANDIDATE_FOR,disease:LUNG,cand_c40249dda26708ee
drug:cdrug_0abcecf22edf1da7,CANDIDATE_FOR,disease:Psoriasis,cand_834753db451ef98c
drug:cdrug_0abcecf22edf1da7,CANDIDATE_FOR,disease:RA,cand_505b964dde35150c
drug:cdrug_0fd545cc40bef19b,CANDIDATE_FOR,disease:PAH,cand_93ff168e0f4e8c8b
drug:cdrug_14411daba423616d,CANDIDATE_FOR,disease:STAD,cand_25134fb45d4598d1
drug:cdrug_14bc3bba5c9315c4,CANDIDATE_FOR,disease:IPF,cand_3dc3acfd26ad478b
drug:cdrug_18e3cf278c38ce2a,CANDIDATE_FOR,disease:Colon,cand_0440432bcfa3c9b0
drug:cdrug_18e3cf278c38ce2a,CANDIDATE_FOR,disease:HNSC,cand_59b361da82c38c4f
drug:cdrug_19bfedb68dfcc6d9,CANDIDATE_FOR,disease:PDAC,cand_e91a9d049a9e932d
drug:cdrug_1ac4a2d6c19d68f5,CANDIDATE_FOR,disease:HNSC,cand_0b55076af9645264
drug:cdrug_1b002a0118c221e9,CANDIDATE_FOR,disease:Psoriasis,cand_45cc8e380ddfdfac
drug:cdrug_1f309e1d1aaae0f9,CANDIDATE_FOR,disease:PDAC,cand_1c4ed1992d065969
drug:cdrug_209ac767f05cbe80,CANDIDATE_FOR,disease:PDAC,cand_76812f1af9733086
drug:cdrug_20a9e92029833ac8,CANDIDATE_FOR,disease:PAH,cand_24eabdda0ca79074
drug:cdrug_20b83add6b9c4f21,CANDIDATE_FOR,disease:HNSC,cand_cfda4a8a830c0c1d
drug:cdrug_20b83add6b9c4f21,CANDIDATE_FOR,disease:LUNG,cand_ddea491dbc563cb4
drug:cdrug_20b83add6b9c4f21,CANDIDATE_FOR,disease:PDAC,cand_04ff7451d1e8c672
drug:cdrug_20b83add6b9c4f21,CANDIDATE_FOR,disease:STAD,cand_af5fd968058d20a0
drug:cdrug_22a8c630c15b10fe,CANDIDATE_FOR,disease:BRCA,cand_7c56473c8c9f9c28
drug:cdrug_258a26e1e68187f5,CANDIDATE_FOR,disease:PDAC,cand_5aead087fa922e33
drug:cdrug_25eaec7308a97eee,CANDIDATE_FOR,disease:PAH,cand_4c36ab9b03c56c85
drug:cdrug_265b3cb9e72545aa,CANDIDATE_FOR,disease:BRCA,cand_be6cf02cd4214227
drug:cdrug_2e9ab8a291ff1bc8,CANDIDATE_FOR,disease:HNSC,cand_436145cb1960b376
drug:cdrug_2ebf6143a4e9c068,CANDIDATE_FOR,disease:PAH,cand_a631a554c3c4ab7b
drug:cdrug_31e511f6bf320f2c,CANDIDATE_FOR,disease:PAH,cand_a13e175b922e1e75
drug:cdrug_32e12f4a864d093b,CANDIDATE_FOR,disease:STAD,cand_48164e2f8f6ec288
drug:cdrug_34152dace9ff98c9,CANDIDATE_FOR,disease:HNSC,cand_57fe03d4e1eb6753
drug:cdrug_34152dace9ff98c9,CANDIDATE_FOR,disease:PDAC,cand_beff3d47a985cbd3
drug:cdrug_34152dace9ff98c9,CANDIDATE_FOR,disease:STAD,cand_4242ec4afdda4e4a
drug:cdrug_346ad922ccbc1f5b,CANDIDATE_FOR,disease:Colon,cand_519186b9001921ad
drug:cdrug_34b98cc5fbbbb5da,CANDIDATE_FOR,disease:PAH,cand_427215bb124795eb
drug:cdrug_36dba5df8466d8d4,CANDIDATE_FOR,disease:LUNG,cand_6d8fcacdfc420f04
drug:cdrug_371d0df931c65f11,CANDIDATE_FOR,disease:HNSC,cand_f7cdcc318d4e6802
drug:cdrug_371d0df931c65f11,CANDIDATE_FOR,disease:Liver,cand_63909d4a5df55873
drug:cdrug_371d0df931c65f11,CANDIDATE_FOR,disease:PDAC,cand_341110936532ae29
drug:cdrug_371d0df931c65f11,CANDIDATE_FOR,disease:STAD,cand_2c667f59fc70107d
drug:cdrug_3a9a8e675b94f430,CANDIDATE_FOR,disease:RA,cand_6e49173fcc7b8a2d
drug:cdrug_3de95f54a079fa92,CANDIDATE_FOR,disease:PDAC,cand_ec2498b1592d9783
drug:cdrug_3de95f54a079fa92,CANDIDATE_FOR,disease:STAD,cand_ca87cde4279097a2
drug:cdrug_3ea906f99daca16c,CANDIDATE_FOR,disease:PAH,cand_f455dbb8b1b0fdd9
drug:cdrug_3edfd50510eef142,CANDIDATE_FOR,disease:RA,cand_5a57aed2b3cbb112
drug:cdrug_403848db34080ce6,CANDIDATE_FOR,disease:PAH,cand_38e947d751b036c7
drug:cdrug_48c33381342f928d,CANDIDATE_FOR,disease:Psoriasis,cand_ec5d107db631b692
drug:cdrug_48c33381342f928d,CANDIDATE_FOR,disease:RA,cand_7a76ec80025aa1a8
drug:cdrug_4a29d26f8861fbe6,CANDIDATE_FOR,disease:Psoriasis,cand_e2cb0f1c6899d81a
drug:cdrug_4a29d26f8861fbe6,CANDIDATE_FOR,disease:RA,cand_05bed53883723414
drug:cdrug_4ad83c742144b729,CANDIDATE_FOR,disease:PAH,cand_c68139b5c5ebd645
drug:cdrug_4fccd7a69505f16f,CANDIDATE_FOR,disease:PAH,cand_2aacfc293e04d820
drug:cdrug_5171ad46a038c047,CANDIDATE_FOR,disease:RA,cand_0a9ee07ea2b3401a
drug:cdrug_52692989966fe3dc,CANDIDATE_FOR,disease:HNSC,cand_a3ad2f35f1955bf4
drug:cdrug_52692989966fe3dc,CANDIDATE_FOR,disease:Liver,cand_89f8d534c3483b62
drug:cdrug_52692989966fe3dc,CANDIDATE_FOR,disease:STAD,cand_4f396c3ae43f8496
drug:cdrug_5327ddd6a8dfd4ff,CANDIDATE_FOR,disease:Psoriasis,cand_3373dcd6c6f8c8fa
drug:cdrug_5330c9b8ef421a58,CANDIDATE_FOR,disease:PAH,cand_2617ea18eb2e5fc8
drug:cdrug_53c80a3c0d50123d,CANDIDATE_FOR,disease:Psoriasis,cand_d344a34f5553ffbd
drug:cdrug_5481b56eb9cd688d,CANDIDATE_FOR,disease:RA,cand_02bf999967ca8fa4
drug:cdrug_55e70c4ca380f295,CANDIDATE_FOR,disease:STAD,cand_0e6e61397e61856f
drug:cdrug_575c6385c524f680,CANDIDATE_FOR,disease:Psoriasis,cand_053d19f784c92f94
drug:cdrug_575c6385c524f680,CANDIDATE_FOR,disease:RA,cand_d3df9519201d3fba
drug:cdrug_58450c4db13a14e1,CANDIDATE_FOR,disease:HNSC,cand_6fbc6cf1c9aca0e8
drug:cdrug_58450c4db13a14e1,CANDIDATE_FOR,disease:LUNG,cand_21d37d22a594da33
drug:cdrug_5a6ce189f111e47c,CANDIDATE_FOR,disease:IPF,cand_c56c68b5c797c808
drug:cdrug_5a6ce189f111e47c,CANDIDATE_FOR,disease:Psoriasis,cand_d70effbce57f9281
drug:cdrug_5a6ce189f111e47c,CANDIDATE_FOR,disease:RA,cand_cbe6a0c2bdd498cc
drug:cdrug_5b0d446d35d3790d,CANDIDATE_FOR,disease:HNSC,cand_96578dbd8188d679
drug:cdrug_5b0d446d35d3790d,CANDIDATE_FOR,disease:LUNG,cand_52b421552fa72421
drug:cdrug_5b0d446d35d3790d,CANDIDATE_FOR,disease:PDAC,cand_ddfb7a69acdd13bd
drug:cdrug_5b0d446d35d3790d,CANDIDATE_FOR,disease:STAD,cand_e20e3d57839e7ff5
drug:cdrug_5d6b2e1a477d01ae,CANDIDATE_FOR,disease:Liver,cand_458914af28402bee
drug:cdrug_5d6b2e1a477d01ae,CANDIDATE_FOR,disease:PDAC,cand_21413e79edaed528
drug:cdrug_5d6b2e1a477d01ae,CANDIDATE_FOR,disease:Psoriasis,cand_fbea5cd037ab6e19
drug:cdrug_5d6b2e1a477d01ae,CANDIDATE_FOR,disease:RA,cand_3234b65b64c21a46
drug:cdrug_5d6b2e1a477d01ae,CANDIDATE_FOR,disease:STAD,cand_89b60f7ed073868d
drug:cdrug_5e0c687278b12bfc,CANDIDATE_FOR,disease:PAH,cand_1d5474a70e5f3bad
drug:cdrug_5e43b24a58c005d7,CANDIDATE_FOR,disease:HNSC,cand_eb738756479f5969
drug:cdrug_5e43b24a58c005d7,CANDIDATE_FOR,disease:LUNG,cand_aa8eee59f218309a
drug:cdrug_5e43b24a58c005d7,CANDIDATE_FOR,disease:PDAC,cand_55449eb0b2dee91f
drug:cdrug_5e43b24a58c005d7,CANDIDATE_FOR,disease:STAD,cand_ce7d024cddb15f81
drug:cdrug_61a5e8e07ce664d1,CANDIDATE_FOR,disease:LUNG,cand_db874e99188ec01d
drug:cdrug_61a5e8e07ce664d1,CANDIDATE_FOR,disease:PDAC,cand_541a57d2773e8bae
drug:cdrug_61a5e8e07ce664d1,CANDIDATE_FOR,disease:STAD,cand_69df8f299292ad40
drug:cdrug_62478e2e0df12fb4,CANDIDATE_FOR,disease:PAH,cand_87a4181d2cf4b88b
drug:cdrug_625e359eee8fc99b,CANDIDATE_FOR,disease:BRCA,cand_06a62e7db7ec11fd
drug:cdrug_633891f706d06abd,CANDIDATE_FOR,disease:PAH,cand_98b83109a882f300
drug:cdrug_63bd67f24b93fc34,CANDIDATE_FOR,disease:RA,cand_6580dadca794a42b
drug:cdrug_652bf5a33b201df2,CANDIDATE_FOR,disease:PAH,cand_e532f3cb5073baa1
drug:cdrug_6564ca080d113c11,CANDIDATE_FOR,disease:RA,cand_abab6c9bd27f1581
drug:cdrug_665990480f4d2502,CANDIDATE_FOR,disease:PDAC,cand_7d4de9ef757f2f89
drug:cdrug_66e7da8131e061dc,CANDIDATE_FOR,disease:Colon,cand_57fbbde58f158643
drug:cdrug_66e7da8131e061dc,CANDIDATE_FOR,disease:Liver,cand_c161fcbaabc70c57
drug:cdrug_66e7da8131e061dc,CANDIDATE_FOR,disease:PDAC,cand_dbb52a10bc3665c2
drug:cdrug_66e7da8131e061dc,CANDIDATE_FOR,disease:Psoriasis,cand_be4c9d1a748030cc
drug:cdrug_66e7da8131e061dc,CANDIDATE_FOR,disease:RA,cand_031eb912a19bf2fa
