structure_id,gene_symbol,uniprot_id,source_uri,local_path,s3_uri,file_size_bytes,checksum_sha256
af_o14965_f1_v6,AURKA,O14965,https://alphafold.ebi.ac.uk/files/AF-O14965-F1-model_v6.cif,11_structures/alphafold/O14965/AF-O14965-F1-model_v6.cif,s3://say2-4team/20260408_new_pre_project_biso/drug_service_build/11_structures/alphafold/O14965/AF-O14965-F1-model_v6.cif,381828,7f2035b0f118f515f80cbd8a1459d9664414d6d5bcd700ebc564a3c14e5d6b28
af_q07817_f1_v6,BCL2L1,Q07817,https://alphafold.ebi.ac.uk/files/AF-Q07817-F1-model_v6.cif,11_structures/alphafold/Q07817/AF-Q07817-F1-model_v6.cif,s3://say2-4team/20260408_new_pre_project_biso/drug_service_build/11_structures/alphafold/Q07817/AF-Q07817-F1-model_v6.cif,222989,44a8276048c6a8601ea5ab6cd9fa455e996c1efe05a136f0df8ca27d31661db1
af_p24941_f1_v6,CDK2,P24941,https://alphafold.ebi.ac.uk/files/AF-P24941-F1-model_v6.cif,11_structures/alphafold/P24941/AF-P24941-F1-model_v6.cif,s3://say2-4team/20260408_new_pre_project_biso/drug_service_build/11_structures/alphafold/P24941/AF-P24941-F1-model_v6.cif,288238,afb1ecd02b09186c681bdbc66314dcdb806aac7fbecf930398c4070a5b16d48f
af_o15111_f1_v6,CHUK,O15111,https://alphafold.ebi.ac.uk/files/AF-O15111-F1-model_v6.cif,11_structures/alphafold/O15111/AF-O15111-F1-model_v6.cif,s3://say2-4team/20260408_new_pre_project_biso/drug_service_build/11_structures/alphafold/O15111/AF-O15111-F1-model_v6.cif,694858,12e729391f820a90c375169b5cda5bc1fe9daeee993ec70510788c75e76dd001
af_q8tek3_f1_v6,DOT1L,Q8TEK3,https://alphafold.ebi.ac.uk/files/AF-Q8TEK3-F1-model_v6.cif,11_structures/alphafold/Q8TEK3/AF-Q8TEK3-F1-model_v6.cif,s3://say2-4team/20260408_new_pre_project_biso/drug_service_build/11_structures/alphafold/Q8TEK3/AF-Q8TEK3-F1-model_v6.cif,1384289,a46e456da54661885130c938b540f21961e07e35b312bad290a8c78e6374aaae
af_p25101_f1_v6,EDNRA,P25101,https://alphafold.ebi.ac.uk/files/AF-P25101-F1-model_v6.cif,11_structures/alphafold/P25101/AF-P25101-F1-model_v6.cif,s3://say2-4team/20260408_new_pre_project_biso/drug_service_build/11_structures/alphafold/P25101/AF-P25101-F1-model_v6.cif,400270,a08825a79460ed80ecd27ce145cecd7cfd83f8061939751a5b7586b8328c8af5
af_p24530_f1_v6,EDNRB,P24530,https://alphafold.ebi.ac.uk/files/AF-P24530-F1-model_v6.cif,11_structures/alphafold/P24530/AF-P24530-F1-model_v6.cif,s3://say2-4team/20260408_new_pre_project_biso/drug_service_build/11_structures/alphafold/P24530/AF-P24530-F1-model_v6.cif,408698,31350c8e795bb18739bf13accc4d7b086190537690d088d590070e195242247c
af_p00533_f1_v6,EGFR,P00533,https://alphafold.ebi.ac.uk/files/AF-P00533-F1-model_v6.cif,11_structures/alphafold/P00533/AF-P00533-F1-model_v6.cif,s3://say2-4team/20260408_new_pre_project_biso/drug_service_build/11_structures/alphafold/P00533/AF-P00533-F1-model_v6.cif,1127973,485413c9edb379204b45cae0191e4d44aa136d160da78ccbed69a4678f8e392f
af_q9gzt9_f1_v6,EGLN1,Q9GZT9,https://alphafold.ebi.ac.uk/files/AF-Q9GZT9-F1-model_v6.cif,11_structures/alphafold/Q9GZT9/AF-Q9GZT9-F1-model_v6.cif,s3://say2-4team/20260408_new_pre_project_biso/drug_service_build/11_structures/alphafold/Q9GZT9/AF-Q9GZT9-F1-model_v6.cif,383663,2aa649b6238c2a821a90f6b93b834263c85a7d0edec24beed727d02c6462f65c
af_p21802_f1_v6,FGFR2,P21802,https://alphafold.ebi.ac.uk/files/AF-P21802-F1-model_v6.cif,11_structures/alphafold/P21802/AF-P21802-F1-model_v6.cif,s3://say2-4team/20260408_new_pre_project_biso/drug_service_build/11_structures/alphafold/P21802/AF-P21802-F1-model_v6.cif,749961,aac8e34cddcff68a8137f1fe8bf1745c95fd4fc9a69f7da9d5ed4c52f7bc3d1e
