context_id,disease_id,candidate_id,canonical_drug_id,evidence_id,protein_id,structure_id,target_source,relation_note
cpslink_3807abf219698534,BRCA,,,imev_9c580004ccc71083,protein_p04637,af_p04637_f1_v6,image_evidence,"{""confidence"": ""0.95"", ""drug_id"": ""1931"", ""drug_name"": ""MIRA-1"", ""mapping_status"": ""exact"", ""matched_target_text"": ""TP53"", ""source_file"": ""BRCA_drug_linkage.csv"", ""source_target"": ""TP53"", ""target_pathway"": ""p53 pathway""}"
cpslink_3d68f6ea9a462c62,BRCA,,,imev_6ab2727ebf7b06ef,protein_o15297,af_o15297_f1_v6,image_evidence,"{""confidence"": ""0.95"", ""drug_id"": ""1067"", ""drug_name"": ""CCT007093"", ""mapping_status"": ""exact"", ""matched_target_text"": ""PPM1D"", ""source_file"": ""BRCA_drug_linkage.csv"", ""source_target"": ""PPM1D"", ""target_pathway"": ""Cell cycle""}"
cpslink_492faff0516225c4,BRCA,,,imev_380dbd79c03b15f5,protein_p04637,af_p04637_f1_v6,image_evidence,"{""confidence"": ""0.95"", ""drug_id"": ""1931"", ""drug_name"": ""MIRA-1"", ""mapping_status"": ""exact"", ""matched_target_text"": ""TP53"", ""source_file"": ""BRCA_drug_linkage.csv"", ""source_target"": ""TP53"", ""target_pathway"": ""p53 pathway""}"
cpslink_a0b3c1b41abbe10c,BRCA,,,imev_efe71dae8be941ff,protein_p04637,af_p04637_f1_v6,image_evidence,"{""confidence"": ""0.95"", ""drug_id"": ""1931"", ""drug_name"": ""MIRA-1"", ""mapping_status"": ""exact"", ""matched_target_text"": ""TP53"", ""source_file"": ""BRCA_drug_linkage.csv"", ""source_target"": ""TP53"", ""target_pathway"": ""p53 pathway""}"
cpslink_196760b23088ee08,Colon,cand_f0d0a8a5fb284504,cdrug_ec25ee06790a07e7,,protein_p42345,af_p42345_f1_v6,candidate_target,"{""confidence"": ""0.95"", ""drug_id"": ""1016"", ""drug_name"": ""Temsirolimus"", ""mapping_status"": ""exact"", ""matched_target_text"": ""MTOR"", ""source_file"": ""Colon_final_admet.csv"", ""source_target"": ""MTOR"", ""target_pathway"": ""PI3K/MTOR signaling""}"
cpslink_2a0b72db4aeac901,Colon,cand_d9cfcaa669b1cc29,cdrug_06622178d9ceb258,,protein_p42338,af_p42338_f1_v6,candidate_target,"{""confidence"": ""0.8"", ""drug_id"": ""2169"", ""drug_name"": ""AZD6482"", ""mapping_status"": ""alias"", ""matched_target_text"": ""PI3Kbeta"", ""source_file"": ""Colon_final_admet.csv"", ""source_target"": ""PI3Kbeta"", ""target_pathway"": ""PI3K/MTOR signaling""}"
cpslink_6b8243e02cdf8dea,Colon,cand_61f226728f19f06c,cdrug_9e64de7415bb3254,,protein_q07817,af_q07817_f1_v6,candidate_target,"{""confidence"": ""0.8"", ""drug_id"": ""1149"", ""drug_name"": ""TW 37"", ""mapping_status"": ""alias"", ""matched_target_text"": ""BCL-XL"", ""source_file"": ""Colon_final_admet.csv"", ""source_target"": ""BCL2, BCL-XL, MCL1"", ""target_pathway"": ""Apoptosis regulation""}"
cpslink_9160d728676166e9,Colon,cand_ec7a04d36bd8c90a,cdrug_da0375af747f9b98,,protein_p11387,af_p11387_f1_v6,candidate_target,"{""confidence"": ""0.95"", ""drug_id"": ""1088"", ""drug_name"": ""Irinotecan"", ""mapping_status"": ""exact"", ""matched_target_text"": ""TOP1"", ""source_file"": ""Colon_final_admet.csv"", ""source_target"": ""TOP1"", ""target_pathway"": ""DNA replication""}"
cpslink_9d6cd694d3cf09c4,Colon,cand_d279d4f1944f1e83,cdrug_e2af88ecc84c41e5,,protein_q07817,af_q07817_f1_v6,candidate_target,"{""confidence"": ""0.8"", ""drug_id"": ""1011"", ""drug_name"": ""Navitoclax"", ""mapping_status"": ""alias"", ""matched_target_text"": ""BCL-XL"", ""source_file"": ""Colon_final_admet.csv"", ""source_target"": ""BCL2, BCL-XL, BCL-W"", ""target_pathway"": ""Apoptosis regulation""}"
cpslink_ab0f27fb3827225a,Colon,cand_0440432bcfa3c9b0,cdrug_18e3cf278c38ce2a,,protein_q02750,af_q02750_f1_v6,candidate_target,"{""confidence"": ""0.8"", ""drug_id"": ""1372"", ""drug_name"": ""Trametinib"", ""mapping_status"": ""alias"", ""matched_target_text"": ""MEK1"", ""source_file"": ""Colon_final_admet.csv"", ""source_target"": ""MEK1, MEK2"", ""target_pathway"": ""ERK MAPK signaling""}"
