protein_id,gene_symbol,uniprot_id,protein_name,organism,source_target_text,mapping_status,notes
,TOP1,,,Homo sapiens,TOP1,needs_uniprot_mapping,clean gene-like symbol; still requires UniProt confirmation
,JAK1,,,Homo sapiens,JAK1,needs_uniprot_mapping,clean gene-like symbol; still requires UniProt confirmation
,JAK2,,,Homo sapiens,JAK2,needs_uniprot_mapping,clean gene-like symbol; still requires UniProt confirmation
,MTOR,,,Homo sapiens,MTOR,needs_uniprot_mapping,clean gene-like symbol; still requires UniProt confirmation
,PDE5A,,,Homo sapiens,PDE5,needs_uniprot_mapping,alias/family/complex term; requires manual UniProt mapping
,EDNRA,,,Homo sapiens,ETA,needs_uniprot_mapping,alias/family/complex term; requires manual UniProt mapping
,JAK3,,,Homo sapiens,JAK3,needs_uniprot_mapping,clean gene-like symbol; still requires UniProt confirmation
,TYK2,,,Homo sapiens,TYK2,needs_uniprot_mapping,clean gene-like symbol; still requires UniProt confirmation
,HSP90,,,Homo sapiens,HSP90,needs_uniprot_mapping,alias/family/complex term; requires manual UniProt mapping
,"MEK1, MEK2",,,Homo sapiens,"MEK1, MEK2",needs_uniprot_mapping,contains multiple target tokens; parse before UniProt mapping
,MTORC1,,,Homo sapiens,MTORC1,needs_uniprot_mapping,alias/family/complex term; requires manual UniProt mapping
,BCL2;NR1I2;TUBB1,,,Homo sapiens,BCL2;NR1I2;TUBB1,needs_uniprot_mapping,contains multiple target tokens; parse before UniProt mapping
,"PARP1, PARP2",,,Homo sapiens,"PARP1, PARP2",needs_uniprot_mapping,contains multiple target tokens; parse before UniProt mapping
,Proteasome,,,Homo sapiens,Proteasome,needs_uniprot_mapping,alias/family/complex term; requires manual UniProt mapping
,"AURKA, AURKB, AURKC, others",,,Homo sapiens,"AURKA, AURKB, AURKC, others",needs_uniprot_mapping,contains multiple target tokens; parse before UniProt mapping
,PIK3CG,,,Homo sapiens,PI3Kgamma,needs_uniprot_mapping,alias/family/complex term; requires manual UniProt mapping
,ABL;ABL1;CAMK2G;FGR;HCK;LYN;MAP2K1;MAP2K2;MAP3K2;SLK;SRC;TEC,,,Homo sapiens,ABL;ABL1;CAMK2G;FGR;HCK;LYN;MAP2K1;MAP2K2;MAP3K2;SLK;SRC;TEC,needs_uniprot_mapping,contains multiple target tokens; parse before UniProt mapping
,ANTHRACYCLINE;TOP2A;TOP2B,,,Homo sapiens,ANTHRACYCLINE;TOP2A;TOP2B,needs_uniprot_mapping,contains multiple target tokens; parse before UniProt mapping
,ANTIMETABOLITE;POLB,,,Homo sapiens,ANTIMETABOLITE;POLB,needs_uniprot_mapping,contains multiple target tokens; parse before UniProt mapping
,"BCL2, BCL-XL, MCL1",,,Homo sapiens,"BCL2, BCL-XL, MCL1",needs_uniprot_mapping,contains multiple target tokens; parse before UniProt mapping
,BCL2;MAP4;MAPK1;TUBB,,,Homo sapiens,BCL2;MAP4;MAPK1;TUBB,needs_uniprot_mapping,contains multiple target tokens; parse before UniProt mapping
,BRAF;LIMK1;NEK11;RAF1;SIK1,,,Homo sapiens,BRAF;LIMK1;NEK11;RAF1;SIK1,needs_uniprot_mapping,contains multiple target tokens; parse before UniProt mapping
,CAPN1;PROTEASOME,,,Homo sapiens,CAPN1;PROTEASOME,needs_uniprot_mapping,contains multiple target tokens; parse before UniProt mapping
