target_text,normalized_target_text,candidate_class,suggested_gene_symbol,mapping_status,uniprot_id,mentions,source_breakdown,diseases,example_source_files,review_owner,notes
TOP1,top1,exact_gene_symbol_candidate,TOP1,needs_uniprot_mapping,,40,candidate_target:15;evidence_target:25,Colon|HNSC|Liver|PDAC|STAD,Colon_drug_linkage.md|Colon_final_admet.csv|HNSC_final_admet.csv|Liver_drug_linkage.csv|Liver_final_admet.csv,,clean gene-like symbol; still requires UniProt confirmation
JAK1,jak1,exact_gene_symbol_candidate,JAK1,needs_uniprot_mapping,,25,candidate_target:13;evidence_target:12,IPF|Psoriasis|RA,IPF_final_tiered.csv|Psoriasis_drug_linkage.csv|Psoriasis_final_admet.csv|RA_final_admet.csv,,clean gene-like symbol; still requires UniProt confirmation
JAK2,jak2,exact_gene_symbol_candidate,JAK2,needs_uniprot_mapping,,22,candidate_target:6;evidence_target:16,Psoriasis|RA,Psoriasis_drug_linkage.csv|Psoriasis_final_admet.csv|RA_final_admet.csv,,clean gene-like symbol; still requires UniProt confirmation
MTOR,mtor,exact_gene_symbol_candidate,MTOR,needs_uniprot_mapping,,19,candidate_target:7;evidence_target:12,Colon|HNSC|Liver|PDAC|STAD,Colon_drug_linkage.md|Colon_final_admet.csv|HNSC_final_admet.csv|Liver_final_admet.csv|PDAC_drug_linkage.csv,,clean gene-like symbol; still requires UniProt confirmation
PDE5,pde5,alias_or_family_review,PDE5A,needs_uniprot_mapping,,14,candidate_target:14,PAH,PAH_final_admet.csv,,alias/family/complex term; requires manual UniProt mapping
ETA,eta,alias_or_family_review,EDNRA,needs_uniprot_mapping,,11,candidate_target:11,PAH,PAH_final_admet.csv,,alias/family/complex term; requires manual UniProt mapping
JAK3,jak3,exact_gene_symbol_candidate,JAK3,needs_uniprot_mapping,,10,candidate_target:2;evidence_target:8,Psoriasis,Psoriasis_drug_linkage.csv|Psoriasis_final_admet.csv,,clean gene-like symbol; still requires UniProt confirmation
TYK2,tyk2,exact_gene_symbol_candidate,TYK2,needs_uniprot_mapping,,10,candidate_target:2;evidence_target:8,Psoriasis,Psoriasis_drug_linkage.csv|Psoriasis_final_admet.csv,,clean gene-like symbol; still requires UniProt confirmation
HSP90,hsp90,alias_or_family_review,,needs_uniprot_mapping,,9,candidate_target:9,Colon|HNSC|LUNG|Liver|STAD,Colon_final_admet.csv|HNSC_final_admet.csv|LUNG_final_admet.csv|Liver_final_admet.csv|STAD_final_admet.csv,,alias/family/complex term; requires manual UniProt mapping
"MEK1, MEK2","mek1, mek2",multi_target_parse_review,,needs_uniprot_mapping,,8,candidate_target:2;evidence_target:6,Colon|HNSC,Colon_drug_linkage.md|Colon_final_admet.csv|HNSC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
