source_target_text,parsed_token,suggested_gene_symbol,parse_status,uniprot_id,mentions,diseases,notes
"MEK1, MEK2",MEK1,MAP2K1,needs_review,,8,Colon|HNSC,parsed from multi-target raw text; verify before seed insertion
"MEK1, MEK2",MEK2,MAP2K2,needs_review,,8,Colon|HNSC,parsed from multi-target raw text; verify before seed insertion
BCL2;NR1I2;TUBB1,BCL2,BCL2,needs_review,,6,PDAC,parsed from multi-target raw text; verify before seed insertion
BCL2;NR1I2;TUBB1,NR1I2,NR1I2,needs_review,,6,PDAC,parsed from multi-target raw text; verify before seed insertion
BCL2;NR1I2;TUBB1,TUBB1,TUBB1,needs_review,,6,PDAC,parsed from multi-target raw text; verify before seed insertion
"PARP1, PARP2",PARP1,PARP1,needs_review,,5,BRCA|HNSC,parsed from multi-target raw text; verify before seed insertion
"PARP1, PARP2",PARP2,PARP2,needs_review,,5,BRCA|HNSC,parsed from multi-target raw text; verify before seed insertion
"AURKA, AURKB, AURKC, others",AURKA,AURKA,needs_review,,4,STAD,parsed from multi-target raw text; verify before seed insertion
"AURKA, AURKB, AURKC, others",AURKB,AURKB,needs_review,,4,STAD,parsed from multi-target raw text; verify before seed insertion
"AURKA, AURKB, AURKC, others",AURKC,AURKC,needs_review,,4,STAD,parsed from multi-target raw text; verify before seed insertion
ABL;ABL1;CAMK2G;FGR;HCK;LYN;MAP2K1;MAP2K2;MAP3K2;SLK;SRC;TEC,ABL,ABL,needs_review,,3,PDAC,parsed from multi-target raw text; verify before seed insertion
ABL;ABL1;CAMK2G;FGR;HCK;LYN;MAP2K1;MAP2K2;MAP3K2;SLK;SRC;TEC,ABL1,ABL1,needs_review,,3,PDAC,parsed from multi-target raw text; verify before seed insertion
ABL;ABL1;CAMK2G;FGR;HCK;LYN;MAP2K1;MAP2K2;MAP3K2;SLK;SRC;TEC,CAMK2G,CAMK2G,needs_review,,3,PDAC,parsed from multi-target raw text; verify before seed insertion
ABL;ABL1;CAMK2G;FGR;HCK;LYN;MAP2K1;MAP2K2;MAP3K2;SLK;SRC;TEC,FGR,FGR,needs_review,,3,PDAC,parsed from multi-target raw text; verify before seed insertion
ABL;ABL1;CAMK2G;FGR;HCK;LYN;MAP2K1;MAP2K2;MAP3K2;SLK;SRC;TEC,HCK,HCK,needs_review,,3,PDAC,parsed from multi-target raw text; verify before seed insertion
ABL;ABL1;CAMK2G;FGR;HCK;LYN;MAP2K1;MAP2K2;MAP3K2;SLK;SRC;TEC,LYN,LYN,needs_review,,3,PDAC,parsed from multi-target raw text; verify before seed insertion
