link_id,target_text,normalized_target_text,protein_id,gene_symbol,uniprot_id,mapping_status,confidence,source,raw_json
tplink_c1bc0824b53b61e8,AURKA,aurka,protein_o14965,AURKA,O14965,exact,0.95,uniprot_auto_mapping_v1,"{""candidate_class"": ""exact_gene_symbol_candidate"", ""diseases"": ""HNSC"", ""mapping_notes"": ""reviewed human gene_exact query"", ""mentions"": ""1"", ""priority"": ""P2"", ""source"": ""priority"", ""suggested_gene_symbol"": ""AURKA"", ""uniprot_gene_names"": ""AURKA|AIK|AIRK1|ARK1|AURA|AYK1|BTAK|IAK1|STK15|STK6"", ""uniprot_primary_gene"": ""AURKA""}"
tplink_d1fbcc16683ff514,BCL-XL,bcl-xl,protein_q07817,BCL2L1,Q07817,alias,0.80,uniprot_auto_mapping_v1,"{""candidate_class"": ""parsed_token_review"", ""diseases"": ""Colon|HNSC|STAD"", ""mapping_notes"": ""reviewed human gene_exact query"", ""mentions"": ""3"", ""priority"": ""P2_alias"", ""source"": ""alias_review"", ""suggested_gene_symbol"": ""BCL2L1"", ""uniprot_gene_names"": ""BCL2L1|BCL2L|BCLX"", ""uniprot_primary_gene"": ""BCL2L1""}"
tplink_612bb003e67dca91,CDK2,cdk2,protein_p24941,CDK2,P24941,exact,0.95,uniprot_auto_mapping_v1,"{""candidate_class"": ""exact_gene_symbol_candidate"", ""diseases"": ""PDAC"", ""mapping_notes"": ""reviewed human gene_exact query"", ""mentions"": ""3"", ""priority"": ""P2"", ""source"": ""priority"", ""suggested_gene_symbol"": ""CDK2"", ""uniprot_gene_names"": ""CDK2|CDKN2"", ""uniprot_primary_gene"": ""CDK2""}"
tplink_46cd3a822ff609b2,IKK-1,ikk-1,protein_o15111,CHUK,O15111,alias,0.80,uniprot_auto_mapping_v1,"{""candidate_class"": ""parsed_token_review"", ""diseases"": ""PDAC"", ""mapping_notes"": ""reviewed human gene_exact query"", ""mentions"": ""3"", ""priority"": ""P2_alias"", ""source"": ""alias_review"", ""suggested_gene_symbol"": ""CHUK"", ""uniprot_gene_names"": ""CHUK|IKKA|TCF16"", ""uniprot_primary_gene"": ""CHUK""}"
tplink_cf1df70e6e30a438,DOT1L,dot1l,protein_q8tek3,DOT1L,Q8TEK3,exact,0.95,uniprot_auto_mapping_v1,"{""candidate_class"": ""exact_gene_symbol_candidate"", ""diseases"": ""LUNG"", ""mapping_notes"": ""reviewed human gene_exact query"", ""mentions"": ""2"", ""priority"": ""P2"", ""source"": ""priority"", ""suggested_gene_symbol"": ""DOT1L"", ""uniprot_gene_names"": ""DOT1L|KIAA1814|KMT4"", ""uniprot_primary_gene"": ""DOT1L""}"
tplink_cc0235a56559462c,ETA,eta,protein_p25101,EDNRA,P25101,alias,0.80,uniprot_auto_mapping_v1,"{""candidate_class"": ""alias_or_family_review"", ""diseases"": ""PAH"", ""mapping_notes"": ""reviewed human gene_exact query"", ""mentions"": ""11"", ""priority"": ""P2"", ""source"": ""priority|alias_review"", ""suggested_gene_symbol"": ""EDNRA"", ""uniprot_gene_names"": ""EDNRA|ETA|ETRA"", ""uniprot_primary_gene"": ""EDNRA""}"
tplink_641e5c3c7c08227a,ETB,etb,protein_p24530,EDNRB,P24530,alias,0.80,uniprot_auto_mapping_v1,"{""candidate_class"": ""alias_or_family_review"", ""diseases"": ""PAH"", ""mapping_notes"": ""reviewed human gene_exact query"", ""mentions"": ""3"", ""priority"": ""P2_alias"", ""source"": ""alias_review"", ""suggested_gene_symbol"": ""EDNRB"", ""uniprot_gene_names"": ""EDNRB|ETRB"", ""uniprot_primary_gene"": ""EDNRB""}"
tplink_a7519abb2bfa3600,EGFR,egfr,protein_p00533,EGFR,P00533,exact,0.95,uniprot_auto_mapping_v1,"{""candidate_class"": ""exact_gene_symbol_candidate"", ""diseases"": ""HNSC"", ""mapping_notes"": ""reviewed human gene_exact query"", ""mentions"": ""1"", ""priority"": ""P2"", ""source"": ""priority"", ""suggested_gene_symbol"": ""EGFR"", ""uniprot_gene_names"": ""EGFR|ERBB|ERBB1|HER1"", ""uniprot_primary_gene"": ""EGFR""}"
tplink_39bf78b974e26d63,EGLN1,egln1,protein_q9gzt9,EGLN1,Q9GZT9,exact,0.95,uniprot_auto_mapping_v1,"{""candidate_class"": ""exact_gene_symbol_candidate"", ""diseases"": ""LUNG"", ""mapping_notes"": ""reviewed human gene_exact query"", ""mentions"": ""1"", ""priority"": ""P2"", ""source"": ""priority"", ""suggested_gene_symbol"": ""EGLN1"", ""uniprot_gene_names"": ""EGLN1|C1orf12"", ""uniprot_primary_gene"": ""EGLN1""}"
tplink_4ddb2316064e1b94,FGFR2,fgfr2,protein_p21802,FGFR2,P21802,exact,0.95,uniprot_auto_mapping_v1,"{""candidate_class"": ""exact_gene_symbol_candidate"", ""diseases"": ""IPF"", ""mapping_notes"": ""reviewed human gene_exact query"", ""mentions"": ""1"", ""priority"": ""P2"", ""source"": ""priority"", ""suggested_gene_symbol"": ""FGFR2"", ""uniprot_gene_names"": ""FGFR2|BEK|KGFR|KSAM"", ""uniprot_primary_gene"": ""FGFR2""}"
tplink_6d92532c242eaaa0,IKK-2,ikk-2,protein_o14920,IKBKB,O14920,alias,0.80,uniprot_auto_mapping_v1,"{""candidate_class"": ""parsed_token_review"", ""diseases"": ""PDAC"", ""mapping_notes"": ""reviewed human gene_exact query"", ""mentions"": ""3"", ""priority"": ""P2_alias"", ""source"": ""alias_review"", ""suggested_gene_symbol"": ""IKBKB"", ""uniprot_gene_names"": ""IKBKB|IKKB"", ""uniprot_primary_gene"": ""IKBKB""}"
tplink_57e1547a7cdc3427,IR,ir,protein_p06213,INSR,P06213,alias,0.80,uniprot_auto_mapping_v1,"{""candidate_class"": ""parsed_token_review"", ""diseases"": ""PDAC"", ""mapping_notes"": ""reviewed human gene_exact query"", ""mentions"": ""3"", ""priority"": ""P2_alias"", ""source"": ""alias_review"", ""suggested_gene_symbol"": ""INSR"", ""uniprot_gene_names"": ""INSR"", ""uniprot_primary_gene"": ""INSR""}"
