source_id,disease_id,source_kind,local_file,source_s3_key
imsrc_9f5dd36f33db5a6c,BRCA,drug_linkage,BRCA_drug_linkage.csv,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/drug_interpretation/cluster_drug_pathway_hypothesis.csv
imsrc_5746ea3190abcb3d,BRCA,clinical_cluster,BRCA_clinical_cluster.csv,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clinical_analysis/cluster_association_tests.csv
imsrc_86f48be9a2b05129,BRCA,report,BRCA_report.md,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clinical_analysis/cluster_clinical_mutation_report.md
imsrc_93d1890583032e58,Colon,drug_linkage,Colon_drug_linkage.md,20260408_new_pre_project_biso/202604_Final_data/Colon/0.Image_modal_COAD/step_im4c/coad_drug_cluster_recommendation_report.md
imsrc_03ea1a8bd865188e,Colon,clinical_cluster,Colon_clinical_cluster.csv,20260408_new_pre_project_biso/202604_Final_data/Colon/0.Image_modal_COAD/step_im4a/coad_cluster_clinical_mutation_table.csv
imsrc_9a2d984b76ab65f6,Colon,report,Colon_report.md,20260408_new_pre_project_biso/202604_Final_data/Colon/0.Image_modal_COAD/step_im4c/coad_drug_cluster_recommendation_report.md
imsrc_53e6198640240004,HNSC,drug_linkage,HNSC_drug_linkage.csv,20260408_new_pre_project_biso/202604_Final_data/HNSC/0.Image_modal_HNSC/step_im4c/hnsc_top30_cluster_drug_hypotheses.csv
imsrc_d5cd0c0491cd9de0,HNSC,clinical_cluster,HNSC_clinical_cluster.csv,20260408_new_pre_project_biso/202604_Final_data/HNSC/0.Image_modal_HNSC/step_im4a/cluster_clinical_mutation_merged.csv
imsrc_af90503bc232e590,HNSC,report,HNSC_report.md,20260408_new_pre_project_biso/202604_Final_data/HNSC/0.Image_modal_HNSC/step_im5/hnsc_step4_summary.md
imsrc_59125cdc3b04f861,IPF,drug_linkage,IPF_drug_linkage.md,20260408_new_pre_project_biso/202604_Final_data/IPF/4.Cluster_drug_mapping/im4c_stratification_hypothesis.md
imsrc_4b3f1e212bf3547e,IPF,clinical_cluster,IPF_clinical_cluster.csv,20260408_new_pre_project_biso/202604_Final_data/IPF/0.Image_modal_IPF/step_im3/patient_clusters.csv
imsrc_5dd9cd476033918d,IPF,report,IPF_report.md,20260408_new_pre_project_biso/202604_Final_data/IPF/0.Image_modal_IPF/step_im4c/im4c_stratification_hypothesis.md
imsrc_d50a8bb8dfcf734a,LUNG,drug_linkage,LUNG_drug_linkage.csv,20260408_new_pre_project_biso/202604_Final_data/LUNG/0.Image_modal_LUAD/im4c_luad_cluster_drug_mapping.csv
imsrc_73eb801c8f73e71c,LUNG,clinical_cluster,LUNG_clinical_cluster.csv,20260408_new_pre_project_biso/202604_Final_data/LUNG/0.Image_modal_LUAD/step_im4a/luad_cluster_clinical_mutation_table.csv
imsrc_e7e229782eac49a4,LUNG,report,LUNG_report.md,20260408_new_pre_project_biso/202604_Final_data/LUNG/0.Image_modal_LUAD/step_im3/step_im3_clustering_report.md
imsrc_97473a5473f6869e,Liver,drug_linkage,Liver_drug_linkage.csv,20260408_new_pre_project_biso/202604_Final_data/Liver/0.Image_modal_LIHC/im4c_lihc_cluster_drug_mapping.csv
imsrc_35463db4d3f67cb2,Liver,clinical_cluster,Liver_clinical_cluster.csv,20260408_new_pre_project_biso/202604_Final_data/Liver/0.Image_modal_LIHC/step_im4a/lihc_cluster_clinical_mutation_table.csv
imsrc_fd032c3eb55bbf3a,Liver,report,Liver_report.md,20260408_new_pre_project_biso/202604_Final_data/Liver/0.Image_modal_LIHC/step_im3/step_im3_clustering_report.md
imsrc_f6ee9705d965ddf1,PAH,drug_linkage,PAH_drug_linkage.md,20260408_new_pre_project_biso/202604_Final_data/PAH/4.Cluster_drug_mapping/im4c_pah_stratification_hypothesis.md
imsrc_3ce222a56a6f86ac,PAH,clinical_cluster,PAH_clinical_cluster.csv,20260408_new_pre_project_biso/202604_Final_data/PAH/0.Image_modal_PAH/step_im3/patient_clusters.csv
imsrc_3a37846164d20203,PAH,report,PAH_report.md,20260408_new_pre_project_biso/202604_Final_data/PAH/0.Image_modal_PAH/im4c_pah_stratification_hypothesis.md
imsrc_a500d86a7b0bddd1,PDAC,drug_linkage,PDAC_drug_linkage.csv,20260408_new_pre_project_biso/202604_Final_data/PDAC/0.Image_modal_PAAD/step_im4c/pdac_top30_cluster_drug_hypotheses.csv
imsrc_0a0a27f9f87ded20,PDAC,clinical_cluster,PDAC_clinical_cluster.csv,20260408_new_pre_project_biso/202604_Final_data/PDAC/0.Image_modal_PAAD/step_im4a/cluster_clinical_mutation_merged.csv
imsrc_192909d10379dda4,PDAC,report,PDAC_report.md,20260408_new_pre_project_biso/202604_Final_data/PDAC/0.Image_modal_PAAD/step_im5/pdac_step4_summary.md
imsrc_0405b751e0f9a898,Psoriasis,drug_linkage,Psoriasis_drug_linkage.csv,20260408_new_pre_project_biso/202604_Final_data/Psoriasis/0.Image_modal_Psoriasis/step_im4c/psoriasis_cluster_drug_linkage.csv
imsrc_2d28cfadba60e998,Psoriasis,clinical_cluster,Psoriasis_clinical_cluster.csv,20260408_new_pre_project_biso/202604_Final_data/Psoriasis/0.Image_modal_Psoriasis/step_im4a/cluster_clinical_label_summary.csv
imsrc_e866d166f2fc2c7c,Psoriasis,report,Psoriasis_report.md,20260408_new_pre_project_biso/202604_Final_data/Psoriasis/0.Image_modal_Psoriasis/step_im5/psoriasis_image_modal_summary.md
imsrc_a2736981256def26,RA,drug_linkage,RA_drug_linkage.csv,20260408_new_pre_project_biso/202604_Final_data/RA/0.Image_modal_RA/step_im4c/ra_ramw600_cluster_drug_linkage.csv
imsrc_071e776627a00658,RA,clinical_cluster,RA_clinical_cluster.csv,20260408_new_pre_project_biso/202604_Final_data/RA/0.Image_modal_RA/step_im4a/ra_ramw600_cluster_clinical_summary.csv
imsrc_6383196af6d8b987,RA,report,RA_report.md,20260408_new_pre_project_biso/202604_Final_data/RA/0.Image_modal_RA/step_im1/ra_xray_data_access_status_20260507.md
imsrc_e1579082c3e7a13b,STAD,drug_linkage,STAD_drug_linkage.csv,20260408_new_pre_project_biso/202604_Final_data/STAD/0.Image_modal_STAD/step_im4c/stad_final_drug_cluster_recommendations.csv
imsrc_02f6754681cd07ba,STAD,clinical_cluster,STAD_clinical_cluster.csv,20260408_new_pre_project_biso/202604_Final_data/STAD/0.Image_modal_STAD/step_im4a/cluster_clinical_mutation_merged.csv
imsrc_77dd6611a3fc9414,STAD,report,STAD_report.md,20260408_new_pre_project_biso/202604_Final_data/STAD/0.Image_modal_STAD/step_im5/stad_image_modal_step4_summary.md
