disease_id,display_name,source_file,source_s3_key
BRCA,Breast cancer,BRCA_final_admet.csv,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260428_new_BRCA_data/step7_admet_22assay/brca_final15_after_admet.csv
Colon,Colorectal cancer,Colon_final_admet.csv,20260408_new_pre_project_biso/202604_Final_data/Colon/20260428_colon_v2/20260428_colon_v2_step7_top15_crc_tier1234_admet22assay_choi_protocol.csv
HNSC,Head and neck squamous cell carcinoma,HNSC_final_admet.csv,20260408_new_pre_project_biso/202604_Final_data/HNSC/0.Image_modal_HNSC/step_im4c/hnsc_top30_admet_4tier_classification.csv
IPF,Idiopathic pulmonary fibrosis,IPF_final_tiered.csv,20260408_new_pre_project_biso/202604_Final_data/IPF/1.Drug_results/ipf_final_15_tiered.csv
LUNG,Lung cancer,LUNG_final_admet.csv,20260408_new_pre_project_biso/202604_Final_data/LUNG/project_root/results/lung_final_top15.csv
Liver,Liver cancer,Liver_final_admet.csv,20260408_new_pre_project_biso/202604_Final_data/Liver/generated/results/lihc_final_top15.csv
PAH,Pulmonary arterial hypertension,PAH_final_admet.csv,20260408_new_pre_project_biso/202604_Final_data/PAH/1.Drug_results/pah_admet_classified_top30.csv
PDAC,Pancreatic ductal adenocarcinoma,PDAC_final_admet.csv,20260408_new_pre_project_biso/202604_Final_data/PDAC/0.Image_modal_PAAD/step_im4c/pdac_top30_admet_4tier_classification.csv
Psoriasis,Psoriasis,Psoriasis_final_admet.csv,20260408_new_pre_project_biso/202604_Final_data/Psoriasis/admet/model_outputs/phase2a_CatBoost_top30_admet_annotated.csv
RA,Rheumatoid arthritis,RA_final_admet.csv,20260408_new_pre_project_biso/202604_Final_data/RA/admet/model_outputs/phase2a_CatBoost_top30_admet_annotated.csv
STAD,Stomach adenocarcinoma,STAD_final_admet.csv,20260408_new_pre_project_biso/202604_Final_data/STAD/0.Image_modal_STAD/step_im4c/stad_top30_admet_4tier_classification.csv
