evidence_id,target_id,source_kind,source_id,disease_id,relation_kind
imev_927a379646c99e28,target_5a8445efa82985c0,image_modal_evidence,imev_927a379646c99e28,BRCA,target
imev_927a379646c99e28,target_1416fc3e3932fc67,image_modal_evidence,imev_927a379646c99e28,BRCA,pathway
imev_48cf0175de014061,target_a7c4d88967ee9ca6,image_modal_evidence,imev_48cf0175de014061,BRCA,target
imev_48cf0175de014061,target_a24e74dbaef2efa5,image_modal_evidence,imev_48cf0175de014061,BRCA,pathway
imev_19877bb9effdedf1,target_5a8445efa82985c0,image_modal_evidence,imev_19877bb9effdedf1,BRCA,target
imev_19877bb9effdedf1,target_1416fc3e3932fc67,image_modal_evidence,imev_19877bb9effdedf1,BRCA,pathway
imev_34503fb489bf6bc0,target_6355eb4ba9085d0e,image_modal_evidence,imev_34503fb489bf6bc0,BRCA,target
imev_34503fb489bf6bc0,target_1416fc3e3932fc67,image_modal_evidence,imev_34503fb489bf6bc0,BRCA,pathway
imev_0ca9fafe44a1c573,target_45f4e6c305448e84,image_modal_evidence,imev_0ca9fafe44a1c573,BRCA,target
imev_0ca9fafe44a1c573,target_a24e74dbaef2efa5,image_modal_evidence,imev_0ca9fafe44a1c573,BRCA,pathway
imev_b5eb1d590e25ddc4,target_1416fc3e3932fc67,image_modal_evidence,imev_b5eb1d590e25ddc4,BRCA,pathway
imev_f07a950512098d2d,target_d6498fa8a8e74e6f,image_modal_evidence,imev_f07a950512098d2d,BRCA,target
imev_f07a950512098d2d,target_cdbf468a18ff1319,image_modal_evidence,imev_f07a950512098d2d,BRCA,pathway
imev_efe71dae8be941ff,target_22627dc3eae9340f,image_modal_evidence,imev_efe71dae8be941ff,BRCA,target
imev_efe71dae8be941ff,target_c389f9af0d520319,image_modal_evidence,imev_efe71dae8be941ff,BRCA,pathway
imev_bc04a47d3c7c46af,target_5a8445efa82985c0,image_modal_evidence,imev_bc04a47d3c7c46af,BRCA,target
imev_bc04a47d3c7c46af,target_1416fc3e3932fc67,image_modal_evidence,imev_bc04a47d3c7c46af,BRCA,pathway
imev_a217b43b5bfddda0,target_a7c4d88967ee9ca6,image_modal_evidence,imev_a217b43b5bfddda0,BRCA,target
imev_a217b43b5bfddda0,target_a24e74dbaef2efa5,image_modal_evidence,imev_a217b43b5bfddda0,BRCA,pathway
imev_5f6df7709575e8bb,target_5a8445efa82985c0,image_modal_evidence,imev_5f6df7709575e8bb,BRCA,target
imev_5f6df7709575e8bb,target_1416fc3e3932fc67,image_modal_evidence,imev_5f6df7709575e8bb,BRCA,pathway
imev_61bfd5df207795e3,target_6355eb4ba9085d0e,image_modal_evidence,imev_61bfd5df207795e3,BRCA,target
imev_61bfd5df207795e3,target_1416fc3e3932fc67,image_modal_evidence,imev_61bfd5df207795e3,BRCA,pathway
imev_9d86c4c6a2d447a1,target_45f4e6c305448e84,image_modal_evidence,imev_9d86c4c6a2d447a1,BRCA,target
imev_9d86c4c6a2d447a1,target_a24e74dbaef2efa5,image_modal_evidence,imev_9d86c4c6a2d447a1,BRCA,pathway
imev_8eada2ac10833e22,target_1416fc3e3932fc67,image_modal_evidence,imev_8eada2ac10833e22,BRCA,pathway
imev_b41c87eff0240d13,target_d6498fa8a8e74e6f,image_modal_evidence,imev_b41c87eff0240d13,BRCA,target
imev_b41c87eff0240d13,target_cdbf468a18ff1319,image_modal_evidence,imev_b41c87eff0240d13,BRCA,pathway
imev_9c580004ccc71083,target_22627dc3eae9340f,image_modal_evidence,imev_9c580004ccc71083,BRCA,target
imev_9c580004ccc71083,target_c389f9af0d520319,image_modal_evidence,imev_9c580004ccc71083,BRCA,pathway
imev_b701d70d95cd41d1,target_5a8445efa82985c0,image_modal_evidence,imev_b701d70d95cd41d1,BRCA,target
imev_b701d70d95cd41d1,target_1416fc3e3932fc67,image_modal_evidence,imev_b701d70d95cd41d1,BRCA,pathway
imev_92ae2d828b7eec9d,target_a7c4d88967ee9ca6,image_modal_evidence,imev_92ae2d828b7eec9d,BRCA,target
imev_92ae2d828b7eec9d,target_a24e74dbaef2efa5,image_modal_evidence,imev_92ae2d828b7eec9d,BRCA,pathway
imev_74a27b6da862ac86,target_5a8445efa82985c0,image_modal_evidence,imev_74a27b6da862ac86,BRCA,target
imev_74a27b6da862ac86,target_1416fc3e3932fc67,image_modal_evidence,imev_74a27b6da862ac86,BRCA,pathway
imev_ba70a84083de122c,target_6355eb4ba9085d0e,image_modal_evidence,imev_ba70a84083de122c,BRCA,target
imev_ba70a84083de122c,target_1416fc3e3932fc67,image_modal_evidence,imev_ba70a84083de122c,BRCA,pathway
imev_ba2c618df177429b,target_45f4e6c305448e84,image_modal_evidence,imev_ba2c618df177429b,BRCA,target
imev_ba2c618df177429b,target_a24e74dbaef2efa5,image_modal_evidence,imev_ba2c618df177429b,BRCA,pathway
imev_56c1988c6356b83f,target_1416fc3e3932fc67,image_modal_evidence,imev_56c1988c6356b83f,BRCA,pathway
imev_5874a5510950845b,target_d6498fa8a8e74e6f,image_modal_evidence,imev_5874a5510950845b,BRCA,target
imev_5874a5510950845b,target_cdbf468a18ff1319,image_modal_evidence,imev_5874a5510950845b,BRCA,pathway
imev_380dbd79c03b15f5,target_22627dc3eae9340f,image_modal_evidence,imev_380dbd79c03b15f5,BRCA,target
imev_380dbd79c03b15f5,target_c389f9af0d520319,image_modal_evidence,imev_380dbd79c03b15f5,BRCA,pathway
imev_050c2c69cb367597,target_5a8445efa82985c0,image_modal_evidence,imev_050c2c69cb367597,BRCA,target
imev_050c2c69cb367597,target_1416fc3e3932fc67,image_modal_evidence,imev_050c2c69cb367597,BRCA,pathway
imev_da76f12c68a868ef,target_a7c4d88967ee9ca6,image_modal_evidence,imev_da76f12c68a868ef,BRCA,target
