structure_id,protein_id,gene_symbol,uniprot_id,provider,provider_accession,entry_id,version,file_format,structure_uri,source_url,pae_uri,pdb_url,mean_plddt,confidence_summary,license,status,api_status,model_created_date,notes
af_o14965_f1_v6,protein_o14965,AURKA,O14965,alphafold_db,O14965,AF-O14965-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-O14965-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-O14965-F1,https://alphafold.ebi.ac.uk/files/AF-O14965-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-O14965-F1-model_v6.pdb,75.06,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=0
af_q07817_f1_v6,protein_q07817,BCL2L1,Q07817,alphafold_db,Q07817,AF-Q07817-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-Q07817-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-Q07817-F1,https://alphafold.ebi.ac.uk/files/AF-Q07817-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-Q07817-F1-model_v6.pdb,72.5,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=2
af_p24941_f1_v6,protein_p24941,CDK2,P24941,alphafold_db,P24941,AF-P24941-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-P24941-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-P24941-F1,https://alphafold.ebi.ac.uk/files/AF-P24941-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-P24941-F1-model_v6.pdb,88.44,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=1
af_o15111_f1_v6,protein_o15111,CHUK,O15111,alphafold_db,O15111,AF-O15111-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-O15111-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-O15111-F1,https://alphafold.ebi.ac.uk/files/AF-O15111-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-O15111-F1-model_v6.pdb,83.81,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=0
af_q8tek3_f1_v6,protein_q8tek3,DOT1L,Q8TEK3,alphafold_db,Q8TEK3,AF-Q8TEK3-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-Q8TEK3-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-Q8TEK3-F1,https://alphafold.ebi.ac.uk/files/AF-Q8TEK3-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-Q8TEK3-F1-model_v6.pdb,52.5,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=1
af_p25101_f1_v6,protein_p25101,EDNRA,P25101,alphafold_db,P25101,AF-P25101-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-P25101-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-P25101-F1,https://alphafold.ebi.ac.uk/files/AF-P25101-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-P25101-F1-model_v6.pdb,74.38,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=4
af_p24530_f1_v6,protein_p24530,EDNRB,P24530,alphafold_db,P24530,AF-P24530-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-P24530-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-P24530-F1,https://alphafold.ebi.ac.uk/files/AF-P24530-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-P24530-F1-model_v6.pdb,75.0,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=2
af_p00533_f1_v6,protein_p00533,EGFR,P00533,alphafold_db,P00533,AF-P00533-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-P00533-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-P00533-F1,https://alphafold.ebi.ac.uk/files/AF-P00533-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-P00533-F1-model_v6.pdb,75.94,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=3
af_q9gzt9_f1_v6,protein_q9gzt9,EGLN1,Q9GZT9,alphafold_db,Q9GZT9,AF-Q9GZT9-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-Q9GZT9-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-Q9GZT9-F1,https://alphafold.ebi.ac.uk/files/AF-Q9GZT9-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-Q9GZT9-F1-model_v6.pdb,71.88,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=2
af_p21802_f1_v6,protein_p21802,FGFR2,P21802,alphafold_db,P21802,AF-P21802-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-P21802-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-P21802-F1,https://alphafold.ebi.ac.uk/files/AF-P21802-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-P21802-F1-model_v6.pdb,73.94,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=16
af_o14920_f1_v6,protein_o14920,IKBKB,O14920,alphafold_db,O14920,AF-O14920-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-O14920-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-O14920-F1,https://alphafold.ebi.ac.uk/files/AF-O14920-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-O14920-F1-model_v6.pdb,86.56,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=3
